run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
1;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
2;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
3;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
4;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
5;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
6;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
7;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
8;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
9;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
10;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
11;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
12;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
13;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
14;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
15;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
16;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
17;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
18;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
19;40.000;50.000;1;0.800;0;0.000;0.000;0.800;1.200
0;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
1;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
2;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
3;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
4;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
5;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
6;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
7;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
8;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
9;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
10;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
11;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
12;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
13;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
14;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
15;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
16;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
17;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
18;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
19;80.000;50.000;2;0.800;0;0.000;0.000;1.599;1.200
0;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
1;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
2;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
3;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
4;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
5;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
6;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
7;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
8;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
9;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
10;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
11;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
12;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
13;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
14;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
15;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
16;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
17;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
18;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
19;120.000;50.000;3;0.799;0;0.000;0.000;2.398;1.200
0;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
1;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
2;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
3;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
4;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
5;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
6;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
7;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
8;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
9;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
10;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
11;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
12;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
13;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
14;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
15;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
16;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
17;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
18;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
19;160.000;50.000;4;0.799;0;0.000;0.000;3.197;1.200
0;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
1;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
2;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
3;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
4;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
5;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
6;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
7;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
8;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
9;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
10;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
11;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
12;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
13;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
14;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
15;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
16;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
17;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
18;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
19;200.000;50.000;5;0.799;0;0.000;0.000;3.996;1.200
0;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
1;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
2;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
3;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
4;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
5;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
6;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
7;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
8;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
9;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
10;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
11;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
12;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
13;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
14;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
15;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
16;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
17;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
18;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
19;240.000;50.000;6;0.799;0;0.000;0.000;4.795;1.200
0;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
1;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
2;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
3;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
4;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
5;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
6;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
7;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
8;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
9;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
10;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
11;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
12;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
13;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
14;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
15;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
16;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
17;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
18;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
19;280.000;50.000;7;0.799;0;0.000;0.000;5.594;1.200
0;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
1;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
2;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
3;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
4;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
5;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
6;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
7;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
8;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
9;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
10;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
11;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
12;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
13;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
14;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
15;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
16;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
17;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
18;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
19;320.000;50.000;8;0.799;0;0.000;0.000;6.394;1.200
0;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
1;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
2;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
3;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
4;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
5;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
6;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
7;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
8;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
9;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
10;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
11;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
12;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
13;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
14;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
15;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
16;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
17;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
18;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
19;360.000;50.000;9;0.799;0;0.000;0.000;7.193;1.200
0;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
1;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
2;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
3;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
4;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
5;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
6;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
7;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
8;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
9;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
10;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
11;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
12;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
13;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
14;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
15;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
16;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
17;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
18;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
19;400.000;50.000;10;0.799;0;0.000;0.000;7.992;1.200
