run;lambda;mu;c;RO;P0;Lq;Wq;Ls;Ws
0;40;50;1;0.757;0;1.814;2.782;2.571;3.946
1;40;50;1;0.830;0;2.633;3.930;3.463;5.170
2;40;50;1;0.756;0;2.845;4.446;3.601;5.627
3;40;50;1;0.795;0;3.018;4.490;3.812;5.674
0;80;50;2;0.849;0;2.928;2.136;4.626;3.388
1;80;50;2;0.835;0;3.223;2.366;4.893;3.593
2;80;50;2;0.804;0;2.799;2.100;4.408;3.310
3;80;50;2;0.803;0;2.683;2.008;4.288;3.212
0;120;50;3;0.762;0;2.170;1.132;4.457;2.326
1;120;50;3;0.840;0;4.440;2.186;6.959;3.428
2;120;50;3;0.772;0;1.667;0.836;3.981;2.015
3;120;50;3;0.805;0;2.020;0.998;4.435;2.194
0;160;50;4;0.783;0;2.032;0.779;5.162;1.981
1;160;50;4;0.825;0;3.458;1.285;6.759;2.514
2;160;50;4;0.781;0;2.130;0.800;5.253;1.980
3;160;50;4;0.823;0;2.237;0.817;5.530;2.023
