;run;lambda;mu;c;Wq;Lq;Ws;Ls
0;0;0.6666666666666666;0.8333333333333334;1;5.057391119138225;3.386150616493147;6.256287364236177;4.188784991483834
1;1;0.6666666666666666;0.8333333333333334;1;4.854816479601168;3.2130322978784474;6.0632890817462055;4.012786662945603
2;2;0.6666666666666666;0.8333333333333334;1;5.45710735473702;3.6454045775312642;6.662163930187603;4.450359900130383
3;3;0.6666666666666666;0.8333333333333334;1;4.511703248961903;3.003712489673863;5.711075591289912;3.801388960779482
4;4;0.6666666666666666;0.8333333333333334;1;5.094469271821977;3.3834672457116306;6.300095086846817;4.1841252913688125
5;5;0.6666666666666666;0.8333333333333334;1;5.093985421967401;3.3749798843614904;6.29133674659011;4.168269638140846
6;6;0.6666666666666666;0.8333333333333334;1;4.596436842389041;3.0545233693896314;5.794089935168326;3.850352504602151
7;7;0.6666666666666666;0.8333333333333334;1;4.4921480027894445;2.9788790731445824;5.674286932979929;3.762694353417949
8;8;0.6666666666666666;0.8333333333333334;1;5.200725537209916;3.479884850915379;6.3981091808441715;4.280995413693642
9;9;0.6666666666666666;0.8333333333333334;1;4.661051750743272;3.108455412570664;5.857446217970544;3.906226960392347
10;10;0.6666666666666666;0.8333333333333334;1;4.613605789941021;3.0896341540622174;5.8112465430199025;3.8915743988194915
11;11;0.6666666666666666;0.8333333333333334;1;4.220155341540972;2.8103702481457815;5.411113598709867;3.6034769899248364
12;12;0.6666666666666666;0.8333333333333334;1;4.575797950358337;3.0507760094629206;5.771104760801537;3.8476949985129716
13;13;0.6666666666666666;0.8333333333333334;1;5.1800526748957205;3.466075809173754;6.380142766725848;4.268787296379134
14;14;0.6666666666666666;0.8333333333333334;1;4.490050994251969;2.9847687054036847;5.679616061048696;3.7754970139548383
15;15;0.6666666666666666;0.8333333333333334;1;5.033752132852573;3.3695936777314657;6.238328383508819;4.175936572569535
16;16;0.6666666666666666;0.8333333333333334;1;5.156864386420807;3.427045796639825;6.367844417486976;4.231787448688625
17;17;0.6666666666666666;0.8333333333333334;1;4.586236323972321;3.069076059911045;5.781926084857271;3.869199908385115
18;18;0.6666666666666666;0.8333333333333334;1;4.584850903107651;3.057178582192214;5.773053765534229;3.8494275329039986
19;19;0.6666666666666666;0.8333333333333334;1;4.657070738765612;3.1211688091206913;5.8492459570747215;3.9201182996597015
20;20;0.6666666666666666;0.8333333333333334;1;4.881513686984639;3.231260241880708;6.077611426773433;4.022768118815625
21;21;0.6666666666666666;0.8333333333333334;1;4.343169481786469;2.8641465464589424;5.5424958031525655;3.6550542823470216
22;22;0.6666666666666666;0.8333333333333334;1;5.263923456008281;3.518750954833412;6.464720453599374;4.321130928569316
23;23;0.6666666666666666;0.8333333333333334;1;4.718814277852952;3.140224475644239;5.927176052513212;3.9440176205235016
24;24;0.6666666666666666;0.8333333333333334;1;4.9723452622651605;3.3603109282388175;6.168034379017241;4.168334337136322
25;25;0.6666666666666666;0.8333333333333334;1;4.932237118978209;3.2691870382102897;6.140567757086165;4.070076728414753
26;26;0.6666666666666666;0.8333333333333334;1;4.761064316671509;3.1711803765863666;5.954067522648002;3.9657505472567576
27;27;0.6666666666666666;0.8333333333333334;1;4.420578571134368;2.9261131304748274;5.627314456132716;3.724735225315671
28;28;0.6666666666666666;0.8333333333333334;1;4.761959628698124;3.1768873692393846;5.956106287991523;3.9727398400799463
29;29;0.6666666666666666;0.8333333333333334;1;4.700995185749068;3.1360186119933915;5.901271755478195;3.9364995164545986
30;0;1.3333333333333333;0.8333333333333334;2;0.21359673561826628;0.14165735506203384;1.4024269562249807;0.9300895573684118
31;1;1.3333333333333333;0.8333333333333334;2;0.23809804161921588;0.1569732768787193;1.4412465959691216;0.9501456780641846
32;2;1.3333333333333333;0.8333333333333334;2;0.22283054685950193;0.14825807604749983;1.4235371711367364;0.9471356149044873
33;3;1.3333333333333333;0.8333333333333334;2;0.232845047155174;0.15576973232344404;1.439100508858792;0.9626741128790467
34;4;1.3333333333333333;0.8333333333333334;2;0.215769383856872;0.14207982388207374;1.4116512048730625;0.9294829618408165
35;5;1.3333333333333333;0.8333333333333334;2;0.23178984372482409;0.1537462033426761;1.4302849527378383;0.9486884050916993
36;6;1.3333333333333333;0.8333333333333334;2;0.2287994010902848;0.1525908965751319;1.430643904764681;0.9540432781977023
37;7;1.3333333333333333;0.8333333333333334;2;0.21885741954278598;0.14693649433263614;1.4151191084554484;0.9500582091265048
38;8;1.3333333333333333;0.8333333333333334;2;0.23794227634406453;0.15978299741056723;1.4400442338423487;0.9670185039098176
39;9;1.3333333333333333;0.8333333333333334;2;0.2389064114462189;0.1602775333110383;1.442018599673527;0.9674214381489714
40;10;1.3333333333333333;0.8333333333333334;2;0.2528800506103745;0.17039057810127112;1.4588728236482666;0.9829440262223261
41;11;1.3333333333333333;0.8333333333333334;2;0.21940828734418544;0.14659106494039964;1.4139547268767212;0.94469143212088
42;12;1.3333333333333333;0.8333333333333334;2;0.23668784522515046;0.15851458370418867;1.4372715629328676;0.9625492474561023
43;13;1.3333333333333333;0.8333333333333334;2;0.2126037244268054;0.1411518647214468;1.403858477153808;0.9320497201519582
44;14;1.3333333333333333;0.8333333333333334;2;0.2238866715709418;0.14940853140615162;1.4174034171858383;0.9458899964247919
45;15;1.3333333333333333;0.8333333333333334;2;0.22366300129303718;0.14905349732170486;1.4233279344963035;0.9485303243549705
46;16;1.3333333333333333;0.8333333333333334;2;0.23326303626582304;0.15548847471407418;1.4486690531303725;0.9656538174356415
47;17;1.3333333333333333;0.8333333333333334;2;0.21907295729409781;0.1461260439743097;1.4103312600983413;0.9406233578586997
48;18;1.3333333333333333;0.8333333333333334;2;0.22448854037836843;0.15028160847089372;1.4168698060207254;0.9485093229425128
49;19;1.3333333333333333;0.8333333333333334;2;0.22058497609231226;0.1480981591871194;1.4155828514479745;0.9502297827950882
50;20;1.3333333333333333;0.8333333333333334;2;0.229083270628596;0.1517630851260338;1.4260871986693913;0.9447542473745002
51;21;1.3333333333333333;0.8333333333333334;2;0.22788047001558487;0.15097536899472438;1.433704179184807;0.9498576927935148
52;22;1.3333333333333333;0.8333333333333334;2;0.24696252051013104;0.16568221575983735;1.4529447464923737;0.9747515715268072
53;23;1.3333333333333333;0.8333333333333334;2;0.24062154031312932;0.16063894031304554;1.4530109698932792;0.9700031281370884
54;24;1.3333333333333333;0.8333333333333334;2;0.22867552298913585;0.15411358196329963;1.4215123952871642;0.9580126844409639
55;25;1.3333333333333333;0.8333333333333334;2;0.22094675515168732;0.1455199518780049;1.421677248594315;0.9363450694691885
56;26;1.3333333333333333;0.8333333333333334;2;0.2160732731113438;0.1441770522162753;1.4114220797642398;0.941764297403599
57;27;1.3333333333333333;0.8333333333333334;2;0.22725054313649523;0.15006262365475379;1.4306499542844515;0.9447153908121916
58;28;1.3333333333333333;0.8333333333333334;2;0.23361717535583684;0.1553647662986457;1.4241252638369581;0.9470726834626375
59;29;1.3333333333333333;0.8333333333333334;2;0.2325182819222876;0.15508969404216663;1.432721911855418;0.9556255152075659
60;0;2.0;0.8333333333333334;3;0.026218306529887474;0.01742678398428549;1.2172149380453152;0.8090584250199628
61;1;2.0;0.8333333333333334;3;0.027922266744877185;0.018394072440855332;1.2294799030743027;0.8099321809492229
62;2;2.0;0.8333333333333334;3;0.025926939109457016;0.017188523552005633;1.2222306188319734;0.8102063660835043
63;3;2.0;0.8333333333333334;3;0.03095925961021769;0.0207470382351913;1.239163626325902;0.8304131125460407
64;4;2.0;0.8333333333333334;3;0.027445803418732203;0.018077452879781995;1.2239158252882747;0.8061443974843784
65;5;2.0;0.8333333333333334;3;0.026711693467482235;0.017686346478689323;1.2235980153674197;0.8101687179350808
66;6;2.0;0.8333333333333334;3;0.029809148776694504;0.019928608323171015;1.2344188391446804;0.8252563166164427
67;7;2.0;0.8333333333333334;3;0.02978864828535669;0.020019758966656864;1.2269442624003954;0.8245148875447246
68;8;2.0;0.8333333333333334;3;0.029984036140561277;0.02013667899127821;1.2322488441557813;0.8275536787581417
69;9;2.0;0.8333333333333334;3;0.02866206542433201;0.019218488108323127;1.2309036077178848;0.8253390557752517
70;10;2.0;0.8333333333333334;3;0.030607270878004432;0.020560740285008303;1.2325436249786803;0.8279735055156789
71;11;2.0;0.8333333333333334;3;0.027595558144260776;0.018438800040832266;1.2224144542737247;0.8167873607021253
72;12;2.0;0.8333333333333334;3;0.031111796225694766;0.020841792291592828;1.2319342570988152;0.8252727588304962
73;13;2.0;0.8333333333333334;3;0.029793046318817715;0.01988685841781068;1.2267133466746094;0.8188311589053037
74;14;2.0;0.8333333333333334;3;0.028939150038698753;0.01927115879377032;1.220369251354879;0.812668291862235
75;15;2.0;0.8333333333333334;3;0.028633652332745094;0.019058558992675043;1.2269392762517077;0.8166458030699723
76;16;2.0;0.8333333333333334;3;0.029718854273594345;0.01977373687947865;1.2425354745481252;0.8267249339369276
77;17;2.0;0.8333333333333334;3;0.02563269721431596;0.01711238866027743;1.2182433269112625;0.813190135822042
78;18;2.0;0.8333333333333334;3;0.028171407201138584;0.01883540285468132;1.2193247942803165;0.8152202286951161
79;19;2.0;0.8333333333333334;3;0.028383396449333395;0.019040150006141923;1.2218568700835277;0.8196460255894222
80;20;2.0;0.8333333333333334;3;0.028228515293156845;0.0186748565773409;1.223764914067407;0.8095939165504362
81;21;2.0;0.8333333333333334;3;0.03125722196915243;0.020679152910351942;1.2352227416796393;0.8171715945624036
82;22;2.0;0.8333333333333334;3;0.02762994369833206;0.018503220695899086;1.231024412374788;0.8243749563516023
83;23;2.0;0.8333333333333334;3;0.03001290286521596;0.02007563072654259;1.2448738125166998;0.8326720063182215
84;24;2.0;0.8333333333333334;3;0.02724136104515028;0.018379201469942118;1.2210136990884863;0.8237743299044934
85;25;2.0;0.8333333333333334;3;0.026573603144915737;0.017462046098587227;1.2251905834326662;0.8050972361852728
86;26;2.0;0.8333333333333334;3;0.030170854969624655;0.020136028606727217;1.2258191893035284;0.8181053220642979
87;27;2.0;0.8333333333333334;3;0.02596808887661099;0.017135822487897922;1.228709867777396;0.8107698640873318
88;28;2.0;0.8333333333333334;3;0.02902507842730252;0.01929935514788174;1.2192028217780746;0.8106723402566729
89;29;2.0;0.8333333333333334;3;0.027237697022959934;0.018181707516766208;1.2282665472039842;0.8198697215013006
90;0;2.6666666666666665;0.8333333333333334;4;0.0034913157304207556;0.002324308534370281;1.1962302117809849;0.7963478694963608
91;1;2.6666666666666665;0.8333333333333334;4;0.004298158231494193;0.002829821416451163;1.2052256197481273;0.7933928300982689
92;2;2.6666666666666665;0.8333333333333334;4;0.0028086565238097457;0.0018601732157191842;1.197660399966307;0.7932104828976859
93;3;2.6666666666666665;0.8333333333333334;4;0.003372344205574883;0.002257919339400618;1.2103948289174622;0.8102940969066267
94;4;2.6666666666666665;0.8333333333333334;4;0.0032090261615063845;0.002112822824735796;1.1990066856002743;0.7893776704986722
95;5;2.6666666666666665;0.8333333333333334;4;0.0033689627982703804;0.002229916476175159;1.199971851870089;0.7942613687528176
96;6;2.6666666666666665;0.8333333333333334;4;0.0038614349756988476;0.002581523738653689;1.2084937031278986;0.8079263802891288
97;7;2.6666666666666665;0.8333333333333334;4;0.003467359410423154;0.002330620301310031;1.2007463908758336;0.8070865985685403
98;8;2.6666666666666665;0.8333333333333334;4;0.003580192588340096;0.002404815361588036;1.206139512486807;0.8100799201300453
99;9;2.6666666666666665;0.8333333333333334;4;0.0037132757924674916;0.00248737492234226;1.2048879585923713;0.8070600159729886
100;10;2.6666666666666665;0.8333333333333334;4;0.004674866117617795;0.0031406685551379873;1.2069361420055413;0.8108336556866061
101;11;2.6666666666666665;0.8333333333333334;4;0.003150648050744672;0.002104947962702506;1.1976669998564087;0.8001605659755936
102;12;2.6666666666666665;0.8333333333333334;4;0.004300317600948411;0.0028825028879157486;1.2058508597836943;0.8082818313130112
103;13;2.6666666666666665;0.8333333333333334;4;0.0043482627745122;0.002898638930745343;1.2001294676886132;0.8000242932458771
104;14;2.6666666666666665;0.8333333333333334;4;0.004659726494277233;0.0031077579880932527;1.1970605428956065;0.7983675584787906
105;15;2.6666666666666665;0.8333333333333334;4;0.0035178774573945103;0.0023403735148554085;1.2013220710995314;0.7991517188582101
106;16;2.6666666666666665;0.8333333333333334;4;0.00406633546759932;0.0027074474810369624;1.2178417140054938;0.8108318390196976
107;17;2.6666666666666665;0.8333333333333334;4;0.003115037296143238;0.0020776052750356914;1.19401779505735;0.7963621085914513
108;18;2.6666666666666665;0.8333333333333334;4;0.0031429550705987567;0.002100814028289648;1.1938836635247452;0.7979718747214813
109;19;2.6666666666666665;0.8333333333333334;4;0.0033658129497605056;0.0022559024714474654;1.1956207726310284;0.801352866648211
110;20;2.6666666666666665;0.8333333333333334;4;0.0031334483829486637;0.0020730267811911902;1.1987083157699587;0.7930414475470915
111;21;2.6666666666666665;0.8333333333333334;4;0.003802949229230656;0.002515955151074402;1.2077469781826369;0.7989751232784112
112;22;2.6666666666666665;0.8333333333333334;4;0.0033809252981034225;0.002264205672139826;1.2068512956403854;0.8082283126903673
113;23;2.6666666666666665;0.8333333333333334;4;0.003686984188322399;0.002465855025150012;1.2184998665649112;0.8149137572190956
