,run,lambda,mu,c,Wq,Lq
0,0,0.6666666666666666,0.8333333333333334,1,4.041131135462525,2.644246806304307
1,1,0.6666666666666666,0.8333333333333334,1,4.645059276760272,3.098254537599105
2,2,0.6666666666666666,0.8333333333333334,1,4.105490850170075,2.7138644727363617
3,3,0.6666666666666666,0.8333333333333334,1,3.989447484796941,2.6583542208321633
4,4,0.6666666666666666,0.8333333333333334,1,4.507604118664644,3.0328027241559368
5,5,0.6666666666666666,0.8333333333333334,1,8.041808781641167,5.385331280772374
6,6,0.6666666666666666,0.8333333333333334,1,3.8125197918056624,2.4311167872414003
7,7,0.6666666666666666,0.8333333333333334,1,3.7469139440092802,2.5075032760211915
8,8,0.6666666666666666,0.8333333333333334,1,6.229557077159187,4.152158460792966
9,9,0.6666666666666666,0.8333333333333334,1,5.181307631357883,3.4974146379395865
10,10,0.6666666666666666,0.8333333333333334,1,3.849801143516485,2.5287831640634977
11,11,0.6666666666666666,0.8333333333333334,1,3.8485599816361615,2.5503124144975646
12,12,0.6666666666666666,0.8333333333333334,1,4.3133070479474505,2.787797661734495
13,13,0.6666666666666666,0.8333333333333334,1,4.0562084885891005,2.754005830174327
14,14,0.6666666666666666,0.8333333333333334,1,3.1966856400884454,2.077538212020784
15,15,0.6666666666666666,0.8333333333333334,1,4.9074131158111545,3.1440160028630237
16,16,0.6666666666666666,0.8333333333333334,1,5.136803632898594,3.268992969218038
17,17,0.6666666666666666,0.8333333333333334,1,4.917131154704346,3.335335556587786
18,18,0.6666666666666666,0.8333333333333334,1,5.32717475019648,3.5194867849631435
19,19,0.6666666666666666,0.8333333333333334,1,7.799353352930921,5.4059572299385525
20,0,1.3333333333333333,0.8333333333333334,2,1.8866219144886234,2.5281103420738242
21,1,1.3333333333333333,0.8333333333333334,2,2.2827044347471643,3.0588239425611943
22,2,1.3333333333333333,0.8333333333333334,2,1.8961643345739345,2.558557742118424
23,3,1.3333333333333333,0.8333333333333334,2,1.6073941615434937,2.13354785042207
24,4,1.3333333333333333,0.8333333333333334,2,1.7542499924110695,2.315609989982603
25,5,1.3333333333333333,0.8333333333333334,2,2.7749123849038595,3.6716036672409516
26,6,1.3333333333333333,0.8333333333333334,2,1.9095076938527482,2.551168284882056
27,7,1.3333333333333333,0.8333333333333334,2,1.6595591714135254,2.210979235361988
28,8,1.3333333333333333,0.8333333333333334,2,1.9182811830478805,2.531491734562186
29,9,1.3333333333333333,0.8333333333333334,2,2.566903747069699,3.564573670097452
30,10,1.3333333333333333,0.8333333333333334,2,1.6505184948892901,2.187548318764469
31,11,1.3333333333333333,0.8333333333333334,2,1.4560864389910748,1.8857138150904496
32,12,1.3333333333333333,0.8333333333333334,2,1.8086941466221174,2.3579146990592803
33,13,1.3333333333333333,0.8333333333333334,2,1.8284185606760646,2.4756787311553956
